m1_q8_state,m1_q50_1_pump_type,m1_q51_elec_agri_satisfaction,m2_q55_grid,m2_q56_micro_aware,m2_q58_micro_use,m2_q59_solar_aware,m2_q60_solar_use,m2_q61_kerolamp_use,m2_q64_alight_read_children,m2_q64_alight_read_adults,m2_q69_elec_hrs,m2_q70_elec_night_hrs,m2_q71_elec_out_days,m2_q74_elec_paysource,m2_q74_elec_paysource_other,m2_q77_electrified_satisfaction,m2_q781_elecunsatisfy_expensive,m2_q782_elecunsatisfy_unavail,m2_q783_elecunsatisfy_quality,m2_q784_elecunsatisfy_repair,m2_q81_grid_availability,m2_q811_ngrid_expensive_connect,m2_q812_ngrid_expensive_bill,m2_q813_ngrid_unreliable,m2_q814_ngrid_dk,m2_q815_ngrid_other_yn,m2_1n2_freeconnection,m3_q83_light_main,m3_q84_1_light_main_adequate,m3_q84_2_light_main_reliable,m3_q84_3_light_main_expensive,m3_q84_4_light_main_safe,m3_q88_light_community_satisfy,m3_q93_light_street_satisfy,m3_q94_1_rank_household_elec,m3_q94_2_rank_street_light,m3_q94_3_rank_prod_elec,m3_q94_4_rank_community_elec,m3_q95_elec_steal,m3_q96_elec_steal_illegal,m3_q97_elec_steal_stop,m6_q136_elec_willpay_urban,m6_q137_support_rank_lpg,m6_q137_support_rank_elec,m6_q137_support_rank_kero,m6_q137_support_rank_water,m6_q137_support_rank_edu,m6_q138_support_solar_lantern,m6_5n1_ddugjy_heard,m6_5n2_ddugjy_electrified,m6_5n3_saubhagya_heard,m6_5n4_saubhagya_electrified,m6_q150_govt_light,m6_q155_1_cook_govt_improv,m6_q155_2_cook_govt_lpg,m6_q155_3_cook_govt_bioplant,m6_q155_4_cook_govt_lpgcyl
JHARKHAND,,Unsatisfied,Yes,No,No,No,Neither,Yes,3,0,8,2,10,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Kerosene Lamp/Lantern,No,Yes,Yes,No,Satisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,1,2,5,4,3,Yes,No,,No,,Lighting via Regular Elec Grid,2,3,4,1
JHARKHAND,,Unsatisfied,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,Kerosene Lamp/Lantern,Yes,Yes,Yes,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,2,1,5,4,3,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,0,2,8,3,3,No one/No Need to pay,,Neutral,,,,,,,,,,,,Grid Electricity,Yes,No,No,Yes,Satisfied,Satisfied,1,2,4,3,No,Yes,Yes,No,1,2,3,5,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Diesel Pump,Unsatisfied,Yes,No,No,Yes,Neither,Yes,2,1,9,0,0,Representative of Electricity Department,,Unsatisfied,Yes,No,No,No,,,,,,,,Grid Electricity,Yes,Yes,Yes,Yes,Neutral,Neutral,1,2,4,3,,,,No,2,3,5,1,4,Yes,No,,No,,Lighting via Regular Elec Grid,4,1,3,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,3,0,18,4,3,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,No,Yes,No,Satisfied,Unsatisfied,1,4,3,2,Yes,Yes,Yes,No,2,3,5,4,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,Yes,No,No,No,Neither,Yes,1,0,8,4,3,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,No,No,No,,Neutral,1,2,3,4,No,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,1,2,3,4
JHARKHAND,,Unsatisfied,Yes,No,No,No,Neither,Yes,0,0,18,4,0,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,Yes,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,2,3,4,5,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,Yes,No,No,No,No,Yes,Yes,Kerosene Lamp/Lantern,Yes,Yes,No,Yes,Unsatisfied,Unsatisfied,1,2,4,3,,Yes,Yes,No,3,4,5,1,2,Yes,No,,No,,Solar Lantern/Home Systems,1,2,3,4
JHARKHAND,,,No,No,No,Yes,Neither,Yes,2,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,No,No,Yes,No,Unsatisfied,Neutral,2,4,1,3,No,Yes,Yes,No,3,4,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,1,4,3,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,0,1,8,4,0,Representative of Electricity Department,,Unsatisfied,Yes,Yes,Yes,Yes,,,,,,,,Grid Electricity,Yes,No,Yes,Yes,Unsatisfied,Satisfied,1,2,4,3,No,Yes,Yes,No,1,2,5,3,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Electric Pump,Satisfied,Yes,Yes,No,Yes,Neither,Yes,2,0,5,4,3,Representative of Electricity Department,,Unsatisfied,No,Yes,Yes,Yes,,,,,,,,Kerosene Lamp/Lantern,Yes,No,Yes,Yes,Neutral,Neutral,3,4,2,1,Yes,Yes,Yes,No,4,1,5,2,3,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,Kerosene Lamp/Lantern,Yes,Yes,Yes,Yes,,Unsatisfied,1,2,4,3,No,Yes,Yes,No,3,4,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,4,1,3,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,0,2,10,4,3,Representative of Electricity Department,,Unsatisfied,No,Yes,Yes,Yes,,,,,,,,Grid Electricity,Yes,No,No,Yes,Neutral,Unsatisfied,1,2,4,3,,,,No,3,4,5,1,2,Yes,No,,No,,Lighting via Regular Elec Grid,4,2,3,1
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,2,0,7,2,5,No one/No Need to pay,,Unsatisfied,No,No,No,No,,,,,,,,Kerosene Lamp/Lantern,No,No,Yes,No,Satisfied,Neutral,1,2,3,4,No,Yes,Yes,No,2,1,4,3,5,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Diesel Pump,Neutral,No,No,No,Yes,Neither,Yes,2,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,Yes,Yes,No,Yes,,Neutral,1,2,4,3,,,,No,2,3,4,1,5,Yes,No,,No,,Kerosene,3,2,4,1
JHARKHAND,,,No,No,No,No,Neither,Yes,2,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,No,Yes,No,Yes,Unsatisfied,Unsatisfied,2,3,4,1,,Yes,Yes,No,2,3,5,4,1,Yes,No,,No,,Lighting via Regular Elec Grid,4,2,3,1
JHARKHAND,Diesel Pump,Neutral,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,Kerosene Lamp/Lantern,Yes,Yes,Yes,Yes,Neutral,Neutral,1,2,4,3,No,Yes,Yes,No,3,2,4,1,5,Yes,No,,No,,Kerosene,3,4,2,1
JHARKHAND,Diesel Pump,Neutral,Yes,No,No,Yes,Neither,Yes,2,0,8,3,10,Representative of Electricity Department,,Unsatisfied,Yes,Yes,Yes,Yes,,,,,,,,Grid Electricity,Yes,No,Yes,Yes,Unsatisfied,Unsatisfied,1,3,4,2,No,Yes,Yes,No,1,2,5,4,3,Yes,Yes,Yes,No,,Lighting via Regular Elec Grid,4,1,3,2
JHARKHAND,,Unsatisfied,Yes,No,No,Yes,Neither,Yes,1.5,0,15,5,3,Representative of Electricity Department,,Neutral,,,,,,,,,,,,Grid Electricity,No,Yes,Yes,Yes,Unsatisfied,Neutral,1,2,3,4,No,Yes,Yes,No,3,4,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Diesel Pump,Unsatisfied,Yes,No,No,Yes,Neither,Yes,0,0,10,4,0,Representative of Electricity Department,,Unsatisfied,Yes,Yes,Yes,Yes,,,,,,,,Grid Electricity,Yes,No,Yes,Yes,Neutral,Unsatisfied,1,3,4,2,No,No,No,No,2,3,4,1,5,Yes,No,,No,,Micro-grid,4,1,3,2
JHARKHAND,,,No,No,No,Yes,Neither,Yes,0.5,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,Yes,No,Yes,No,Unsatisfied,Unsatisfied,1,2,4,3,,,,No,4,2,5,1,3,Yes,No,,No,,Solar Lantern/Home Systems,3,1,4,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,2,0,16,4,2,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Unsatisfied,Unsatisfied,1,2,3,4,No,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,Unsatisfied,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,Yes,Yes,Yes,Yes,,Neutral,1,2,4,3,,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Solar Lantern/Home Systems,3,1,4,2
JHARKHAND,,,No,No,No,Yes,Solar Lantern,Yes,0,0,,,,,,,,,,,No,,,,,,Yes,Solar Home System/Lantern,Yes,Yes,Yes,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,Neutral,Yes,Yes,No,No,Neither,No,0,0,6,3,3,Representative of Electricity Department,,Unsatisfied,No,Yes,No,No,,,,,,,,Grid Electricity,Yes,No,No,Yes,Satisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,4,2,5,3,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,Yes,Yes,Yes,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,3,2,5,4,1,Yes,No,,No,,Solar Lantern/Home Systems,3,1,4,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,0,0,7,2,3,No one/No Need to pay,,Unsatisfied,No,Yes,No,No,,,,,,,,Kerosene Lamp/Lantern,No,No,Yes,No,,Unsatisfied,1,2,3,4,Yes,Yes,Yes,No,4,1,5,2,3,Yes,No,,No,,Lighting via Regular Elec Grid,2,1,3,4
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,2,0,0,0,0,Others,ONLY ONE DAYS HAS COMPLETED FOR METER INSTALLATION,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,3,4,5,2,1,Yes,Yes,Yes,Yes,Yes,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,Yes,No,No,No,Neither,Yes,0,0,8,1,10,No one/No Need to pay,,Unsatisfied,No,Yes,No,Yes,,,,,,,,Kerosene Lamp/Lantern,Yes,Yes,Yes,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,3,2,5,4,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,No,No,No,Yes,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,No,Kerosene Lamp/Lantern,No,No,Yes,No,Unsatisfied,Unsatisfied,1,3,2,4,,,,No,3,2,5,1,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,0,0,10,3,8,No one/No Need to pay,,Neutral,,,,,,,,,,,,Grid Electricity,Yes,No,No,No,,Neutral,1,3,4,2,No,Yes,Yes,No,4,1,2,3,5,No,No,,No,,Lighting via Regular Elec Grid,1,3,4,2
JHARKHAND,,,Yes,No,No,Yes,Solar Lantern,No,0,0,5,1,15,Representative of Electricity Department,,Unsatisfied,Yes,Yes,No,Yes,,,,,,,,Solar Home System/Lantern,Yes,Yes,No,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Diesel Pump,Satisfied,Yes,No,No,No,Neither,Yes,3,0,8,2,3,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Kerosene Lamp/Lantern,No,Yes,Yes,No,Satisfied,Satisfied,1,2,4,3,No,Yes,Yes,No,2,1,5,4,3,Yes,No,,No,,Lighting via Regular Elec Grid,4,1,3,2
JHARKHAND,,,Yes,Yes,No,Yes,Neither,Yes,1,0,6,1,0,Representative of Electricity Department,,Unsatisfied,Yes,Yes,Yes,Yes,,,,,,,,Kerosene Lamp/Lantern,No,No,Yes,No,Unsatisfied,Unsatisfied,1,3,2,4,No,Yes,Yes,No,4,2,5,1,3,Yes,Yes,No,Yes,No,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,Unsatisfied,Yes,No,No,Yes,Neither,No,2,0,15,4,2,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Satisfied,Neutral,3,2,4,1,No,Yes,No,No,3,4,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Electric Pump,Unsatisfied,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Yes,Kerosene Lamp/Lantern,Yes,Yes,No,Yes,,Neutral,1,2,4,3,No,Yes,Yes,No,4,5,1,2,3,No,No,,No,,Kerosene,3,1,4,2
JHARKHAND,,,No,No,No,Yes,Solar Home System,Yes,1,0,3,3,7,No one/No Need to pay,,Neutral,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,No,No,Yes,No,Unsatisfied,Unsatisfied,1,2,4,3,,,,No,3,2,5,1,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,,Yes,Yes,No,Yes,Neither,Yes,2,0,14,4,3,No one/No Need to pay,,Neutral,,,,,,,,,,,,Grid Electricity,Yes,No,No,No,Unsatisfied,Unsatisfied,2,1,4,3,No,Yes,Yes,Yes,4,2,5,3,1,Yes,Yes,No,No,,Solar Lantern/Home Systems,4,3,2,1
JHARKHAND,,Satisfied,Yes,No,No,No,Neither,Yes,0,0,15,3,0,No one/No Need to pay,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,,Neutral,1,4,3,2,No,Yes,Yes,No,1,2,5,4,3,No,No,,No,,Lighting via Regular Elec Grid,1,2,4,3
JHARKHAND,Diesel Pump,Unsatisfied,Yes,No,No,No,Neither,Yes,0,0,10,2,3,Representative of Electricity Department,,Unsatisfied,Yes,Yes,Yes,Yes,,,,,,,,Grid Electricity,No,No,Yes,Yes,Unsatisfied,Satisfied,1,2,4,3,No,Yes,Yes,No,3,4,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,4,1,3,2
JHARKHAND,Electric Pump,Neutral,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,No,No,No,No,Kerosene Lamp/Lantern,Yes,Yes,No,Yes,Neutral,Neutral,1,2,4,3,No,Yes,Yes,No,2,1,3,4,5,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,,No,No,No,Yes,Solar Lantern,No,0,0,,,,,,,,,,,No,,,,,,Yes,Solar Home System/Lantern,Yes,Yes,Yes,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,4,2,5,1,3,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,2,0,14,4,2,No one/No Need to pay,,Neutral,,,,,,,,,,,,Grid Electricity,Yes,No,No,Yes,Neutral,Satisfied,1,2,4,3,,Yes,Yes,No,4,2,5,1,3,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,No,No,No,Yes,,Unsatisfied,1,3,4,2,,,,No,1,2,5,4,3,Yes,No,,No,,Solar Lantern/Home Systems,2,1,4,3
JHARKHAND,Diesel Pump,Unsatisfied,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Kerosene Lamp/Lantern,Yes,Yes,No,Yes,Neutral,Neutral,1,2,3,4,No,Yes,Yes,No,1,4,5,2,3,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,,Yes,No,No,No,Neither,Yes,0,0,10,3,2,No one/No Need to pay,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Satisfied,Satisfied,1,4,3,2,Yes,Yes,Yes,No,3,1,5,2,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,Neutral,Yes,No,No,No,Neither,Yes,0,0,8,2,3,Others,DIDN'T PAY ANY BILL,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,No,No,No,Neutral,Neutral,1,2,4,3,No,Yes,Yes,No,4,3,5,1,2,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,Neutral,No,Yes,No,No,Solar Lantern,Yes,5,0,,,,,,,,,,,Yes,No,Yes,Yes,Yes,No,No,Kerosene Lamp/Lantern,Yes,Yes,No,No,Neutral,Neutral,1,4,3,2,,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,4,1,3,2
JHARKHAND,,Neutral,No,No,No,No,Solar Lantern,Yes,1,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,Yes,No,Yes,No,Unsatisfied,Unsatisfied,1,3,2,4,,Yes,Yes,No,1,2,5,3,4,Yes,Yes,No,No,,Lighting via Regular Elec Grid,4,1,3,2
JHARKHAND,Diesel Pump,Neutral,No,No,No,Yes,Solar Home System,Yes,0,0,2,0,0,No one/No Need to pay,,Neutral,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,No,No,No,Yes,Neutral,Neutral,1,2,3,4,,,,Yes,1,2,5,4,3,Yes,No,,No,,Kerosene,3,1,4,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,0,1,5,2,3,Representative of Electricity Department,,Neutral,,,,,,,,,,,,Grid Electricity,Yes,No,Yes,Yes,Neutral,Neutral,1,2,4,3,Yes,Yes,Yes,No,2,1,5,3,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,Unsatisfied,Yes,No,No,Yes,Neither,Yes,1,0,16,3,7,Representative of Electricity Department,,Unsatisfied,No,Yes,Yes,Yes,,,,,,,,Grid Electricity,Yes,No,No,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,2,1,5,4,3,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,Yes,Yes,No,Yes,Neither,Yes,0,4,4,2,5,Representative of Electricity Department,,Unsatisfied,No,Yes,Yes,No,,,,,,,,Kerosene Lamp/Lantern,No,Yes,Yes,No,Unsatisfied,Unsatisfied,3,2,4,1,No,Yes,Yes,No,4,3,5,1,2,Yes,Yes,No,Yes,No,Lighting via Regular Elec Grid,4,2,3,1
JHARKHAND,,,Yes,Yes,No,Yes,Neither,No,2,0,16,5,2,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,No,Yes,Unsatisfied,Unsatisfied,1,2,4,3,,Yes,Yes,No,3,4,5,1,2,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,Yes,No,No,No,Neither,Yes,0,1,15,3,6,Representative of Electricity Department,,Neutral,,,,,,,,,,,,Grid Electricity,Yes,No,Yes,Yes,Unsatisfied,Unsatisfied,1,4,3,2,No,Yes,Yes,No,1,2,5,3,4,Yes,Yes,No,Yes,No,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,Diesel Pump,Unsatisfied,Yes,No,No,No,Neither,Yes,0,0,6,2,0,Representative of Electricity Department,,Unsatisfied,No,Yes,Yes,Yes,,,,,,,,Grid Electricity,Yes,No,No,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,2,1,5,3,4,Yes,Yes,No,No,,Solar Lantern/Home Systems,4,1,3,2
JHARKHAND,,Unsatisfied,Yes,No,No,No,Neither,Yes,0,0,20,4,0,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,Yes,Yes,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,3,4,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,No,No,No,No,Neither,Yes,1,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,Yes,No,No,Yes,Neutral,Neutral,1,2,4,3,Yes,Yes,Yes,Yes,1,2,5,3,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,,Yes,No,No,Yes,Solar Home System,Yes,2,2,2,1,10,No one/No Need to pay,,Unsatisfied,No,Yes,Yes,Yes,,,,,,,,Solar Home System/Lantern,No,Yes,No,Yes,Unsatisfied,Unsatisfied,1,3,4,2,Yes,Yes,Yes,Yes,3,4,5,2,1,Yes,Yes,No,Yes,No,Micro-grid,3,1,4,2
JHARKHAND,,,No,No,No,No,Neither,Yes,1,0,,,,,,,,,,,Yes,Yes,No,No,Yes,No,Yes,Kerosene Lamp/Lantern,No,No,No,No,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,4,3,5,1,2,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,0,0,2,1,20,Representative of Electricity Department,,Unsatisfied,Yes,Yes,Yes,Yes,,,,,,,,Grid Electricity,No,No,Yes,Yes,Unsatisfied,Unsatisfied,2,3,4,1,No,Yes,Yes,No,4,2,5,1,3,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Diesel Pump,Unsatisfied,Yes,No,No,Yes,Solar Lantern,Yes,1,0,3,1,28,Representative of Electricity Department,,Unsatisfied,Yes,Yes,Yes,Yes,,,,,,,,Kerosene Lamp/Lantern,Yes,Yes,Yes,No,Satisfied,Unsatisfied,1,2,3,4,Yes,Yes,Yes,No,4,2,5,3,1,No,No,,No,,Lighting via Regular Elec Grid,4,3,1,2
JHARKHAND,,Neutral,No,No,No,No,Neither,Yes,2,0,,,,,,,,,,,No,,,,,,Yes,Kerosene Lamp/Lantern,Yes,Yes,Yes,Yes,Satisfied,Unsatisfied,1,4,3,2,,Yes,Yes,Yes,3,2,5,4,1,No,No,,No,,Lighting via Regular Elec Grid,3,4,2,1
JHARKHAND,,Neutral,Yes,No,No,No,Neither,Yes,0,0,2,1,25,No one/No Need to pay,,Neutral,,,,,,,,,,,,Kerosene Lamp/Lantern,Yes,Yes,No,Yes,Neutral,Neutral,1,2,4,3,No,Yes,,No,2,3,5,1,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,Unsatisfied,Yes,No,No,Yes,Neither,Yes,4,0,14,4,4,Representative of Electricity Department,,Neutral,,,,,,,,,,,,Grid Electricity,Yes,No,Yes,No,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,1,2,5,3,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Diesel Pump,Unsatisfied,Yes,No,No,Yes,Neither,No,6,0,20,5,2,Representative of Electricity Department,,Unsatisfied,Yes,No,No,Yes,,,,,,,,Grid Electricity,Yes,Yes,Yes,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,No,No,No,Yes,Neither,Yes,1.5,0,,,,,,,,,,,Yes,Yes,No,No,No,No,Yes,Kerosene Lamp/Lantern,No,Yes,No,Yes,Unsatisfied,Unsatisfied,2,3,4,1,,Yes,Yes,No,3,2,5,1,4,Yes,No,,No,,Lighting via Regular Elec Grid,4,2,3,1
JHARKHAND,,Satisfied,No,No,No,Yes,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,Kerosene Lamp/Lantern,Yes,Yes,Yes,Yes,,Unsatisfied,2,3,1,4,Yes,Yes,Yes,No,1,2,5,3,4,Yes,No,,No,,Lighting via Regular Elec Grid,2,1,4,3
JHARKHAND,,,No,No,No,Yes,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,Kerosene Lamp/Lantern,No,Yes,Yes,No,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,4,3,5,1,2,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,Yes,No,No,Yes,Neither,Yes,2,0,12,3,2,Representative of Electricity Department,,Neutral,,,,,,,,,,,,Grid Electricity,No,No,Yes,Yes,Neutral,Satisfied,1,3,4,2,No,Yes,Yes,No,3,4,5,2,1,Yes,Yes,No,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,Diesel Pump,Unsatisfied,Yes,Yes,No,Yes,Neither,Yes,3,3,3,3,10,Representative of Electricity Department,,Unsatisfied,No,Yes,No,Yes,,,,,,,,Grid Electricity,No,No,No,Yes,Unsatisfied,Unsatisfied,1,2,3,4,No,Yes,Yes,No,4,3,5,2,1,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
JHARKHAND,,,No,Yes,No,Yes,Solar Home System,Yes,3,0,0,0,30,No one/No Need to pay,,Unsatisfied,No,Yes,Yes,Yes,No,,,,,,Yes,Solar Home System/Lantern,Yes,Yes,No,Yes,Unsatisfied,Unsatisfied,1,2,4,3,No,Yes,Yes,No,3,2,4,1,5,Yes,No,,No,,Solar Lantern/Home Systems,4,1,3,2
JHARKHAND,,,Yes,No,No,No,Neither,Yes,1,0,8,2,10,Representative of Electricity Department,,Unsatisfied,No,Yes,Yes,Yes,,,,,,,,Grid Electricity,No,No,No,No,Unsatisfied,Unsatisfied,1,3,2,4,Yes,Yes,Yes,No,4,1,5,2,3,No,No,,No,,Lighting via Regular Elec Grid,4,1,2,3
JHARKHAND,Diesel Pump,Satisfied,Yes,Yes,No,Yes,Neither,Yes,4,0,14,6,3,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,No,No,No,Satisfied,Satisfied,2,4,1,3,Yes,Yes,Yes,Yes,4,2,5,3,1,Yes,No,,No,,Solar Lantern/Home Systems,4,1,3,2
JHARKHAND,,,No,No,No,No,Neither,Yes,0,0,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,Yes,Kerosene Lamp/Lantern,Yes,Yes,Yes,No,Unsatisfied,Unsatisfied,1,4,3,2,No,Yes,Yes,No,1,2,5,4,3,Yes,No,,No,,Lighting via Regular Elec Grid,3,2,4,1
JHARKHAND,,,Yes,No,No,No,Neither,Yes,2,0,8,2,3,Representative of Electricity Department,,Satisfied,,,,,,,,,,,,Grid Electricity,Yes,No,No,No,,Neutral,1,3,4,2,No,Yes,Yes,No,2,3,5,1,4,Yes,No,,No,,Lighting via Regular Elec Grid,3,1,4,2
